relayId,relatedRelayId,nodeId,localId,relatedLocalId,dimColors
43904,43905,5,2572,2316,:0-960
43905,43904,5,2316,2572,:0-960
43906,43907,5,2572,2316,:0-960
43907,43906,5,2316,2572,:0-960
43908,43909,5,2572,2316,:0-960
43909,43908,5,2316,2572,:0-960
43910,43911,5,2572,2316,:0-960
43911,43910,5,2316,2572,:0-960
43912,43913,5,2572,2316,:0-960
43913,43912,5,2316,2572,:0-960
43914,43915,5,2572,2316,:0-960
43915,43914,5,2316,2572,:0-960
43916,43917,5,2572,2316,:0-960
43917,43916,5,2316,2572,:0-960
43918,43919,5,2572,2316,:0-960
43919,43918,5,2316,2572,:0-960
43920,43921,5,2572,2316,:0-960
43921,43920,5,2316,2572,:0-960
43922,43923,5,2572,2316,:0-960
43923,43922,5,2316,2572,:0-960
43924,43925,5,2572,2316,:0-960
43925,43924,5,2316,2572,:0-960
44428,44429,15,2572,2316,:0-960
44429,44428,15,2316,2572,:0-960
44430,44431,15,2572,2316,:0-960
44431,44430,15,2316,2572,:0-960
44432,44433,15,2572,2316,:0-960
44433,44432,15,2316,2572,:0-960
44434,44435,15,2572,2316,:0-960
44435,44434,15,2316,2572,:0-960
44436,44437,15,2572,2316,:0-960
44437,44436,15,2316,2572,:0-960
44438,44439,15,2572,2316,:0-960
44439,44438,15,2316,2572,:0-960
44440,44441,15,2572,2316,:0-960
44441,44440,15,2316,2572,:0-960
44442,44443,15,2572,2316,:0-960
44443,44442,15,2316,2572,:0-960
44444,44445,15,2572,2316,:0-960
44445,44444,15,2316,2572,:0-960
44446,44447,15,2572,2316,:0-960
44447,44446,15,2316,2572,:0-960
44448,44449,15,2572,2316,:0-960
44449,44448,15,2316,2572,:0-960
44450,44451,15,2572,2316,:0-960
44451,44450,15,2316,2572,:0-960
44452,44453,15,2572,2316,:0-960
44453,44452,15,2316,2572,:0-960
44454,44455,15,2572,2316,:0-960
44455,44454,15,2316,2572,:0-960
44456,44457,15,2572,2316,:0-960
44457,44456,15,2316,2572,:0-960
44458,44459,15,2572,2316,:0-960
44459,44458,15,2316,2572,:0-960
44460,44461,15,2572,2316,:0-960
44461,44460,15,2316,2572,:0-960
44462,44463,15,2572,2316,:0-960
44463,44462,15,2316,2572,:0-960
44464,44465,15,2572,2316,:0-960
44465,44464,15,2316,2572,:0-960
44466,44467,15,2572,2316,:0-960
44467,44466,15,2316,2572,:0-960
44468,44469,15,2572,2316,:0-960
44469,44468,15,2316,2572,:0-960
44470,44471,15,2572,2316,:0-960
44471,44470,15,2316,2572,:0-960
44472,44473,15,2572,2316,:0-960
44473,44472,15,2316,2572,:0-960
44474,44475,15,2572,2316,:0-960
44475,44474,15,2316,2572,:0-960
44871,44872,24,2572,2316,:0-960
44872,44871,24,2316,2572,:0-960
44873,44874,24,2572,2316,:0-960
44874,44873,24,2316,2572,:0-960
44875,44876,24,2572,2316,:0-960
44876,44875,24,2316,2572,:0-960
44877,44878,24,2572,2316,:0-960
44878,44877,24,2316,2572,:0-960
44879,44880,24,2572,2316,:0-960
44880,44879,24,2316,2572,:0-960
44881,44882,24,2572,2316,:0-960
44882,44881,24,2316,2572,:0-960
44883,44884,24,2572,2316,:0-960
44884,44883,24,2316,2572,:0-960
44885,44886,24,2572,2316,:0-960
44886,44885,24,2316,2572,:0-960
44887,44888,24,2572,2316,:0-960
44888,44887,24,2316,2572,:0-960
44889,44890,24,2572,2316,:0-960
44890,44889,24,2316,2572,:0-960
44891,44892,24,2572,2316,:0-960
44892,44891,24,2316,2572,:0-960
44893,44894,24,2572,2316,:0-960
44894,44893,24,2316,2572,:0-960
44895,44896,24,2572,2316,:0-960
44896,44895,24,2316,2572,:0-960
44897,44898,24,2572,2316,:0-960
44898,44897,24,2316,2572,:0-960
44899,44900,24,2572,2316,:0-960
44900,44899,24,2316,2572,:0-960
44901,44902,24,2572,2316,:0-960
44902,44901,24,2316,2572,:0-960
44903,44904,24,2572,2316,:0-960
44904,44903,24,2316,2572,:0-960
44905,44906,24,2572,2316,:0-960
44906,44905,24,2316,2572,:0-960
44907,44908,24,2572,2316,:0-960
44908,44907,24,2316,2572,:0-960
44909,44910,24,2572,2316,:0-960
44910,44909,24,2316,2572,:0-960
44911,44912,24,2572,2316,:0-960
44912,44911,24,2316,2572,:0-960
44913,44914,24,2572,2316,:0-960
44914,44913,24,2316,2572,:0-960
44915,44916,24,2572,2316,:0-960
44916,44915,24,2316,2572,:0-960
44917,44918,24,2572,2316,:0-960
44918,44917,24,2316,2572,:0-960
44978,44979,25,2572,2316,:0-960
44979,44978,25,2316,2572,:0-960
44980,44981,25,2572,2316,:0-960
44981,44980,25,2316,2572,:0-960
44982,44983,25,2572,2316,:0-960
44983,44982,25,2316,2572,:0-960
44984,44985,25,2572,2316,:0-960
44985,44984,25,2316,2572,:0-960
44986,44987,25,2572,2316,:0-960
44987,44986,25,2316,2572,:0-960
44988,44989,25,2572,2316,:0-960
44989,44988,25,2316,2572,:0-960
44990,44991,25,2572,2316,:0-960
44991,44990,25,2316,2572,:0-960
44992,44993,25,2572,2316,:0-960
44993,44992,25,2316,2572,:0-960
44994,44995,25,2572,2316,:0-960
44995,44994,25,2316,2572,:0-960
44996,44997,25,2572,2316,:0-960
44997,44996,25,2316,2572,:0-960
44998,44999,25,2572,2316,:0-960
44999,44998,25,2316,2572,:0-960
45000,45001,25,2572,2316,:0-960
45001,45000,25,2316,2572,:0-960
45002,45003,25,2572,2316,:0-960
45003,45002,25,2316,2572,:0-960
45004,45005,25,2572,2316,:0-960
45005,45004,25,2316,2572,:0-960
45006,45007,25,2572,2316,:0-960
45007,45006,25,2316,2572,:0-960
45008,45009,25,2572,2316,:0-960
45009,45008,25,2316,2572,:0-960
45010,45011,25,2572,2316,:0-960
45011,45010,25,2316,2572,:0-960
45012,45013,25,2572,2316,:0-960
45013,45012,25,2316,2572,:0-960
45014,45015,25,2572,2316,:0-960
45015,45014,25,2316,2572,:0-960
45016,45017,25,2572,2316,:0-960
45017,45016,25,2316,2572,:0-960
45018,45019,25,2572,2316,:0-960
45019,45018,25,2316,2572,:0-960
45020,45021,25,2572,2316,:0-960
45021,45020,25,2316,2572,:0-960
45022,45023,25,2572,2316,:0-960
45023,45022,25,2316,2572,:0-960
45024,45025,25,2572,2316,:0-960
45025,45024,25,2316,2572,:0-960
45421,45422,34,2572,2316,:0-960
45422,45421,34,2316,2572,:0-960
45423,45424,34,2572,2316,:0-960
45424,45423,34,2316,2572,:0-960
45425,45426,34,2572,2316,:0-960
45426,45425,34,2316,2572,:0-960
45427,45428,34,2572,2316,:0-960
45428,45427,34,2316,2572,:0-960
45429,45430,34,2572,2316,:0-960
45430,45429,34,2316,2572,:0-960
45431,45432,34,2572,2316,:0-960
45432,45431,34,2316,2572,:0-960
45433,45434,34,2572,2316,:0-960
45434,45433,34,2316,2572,:0-960
45435,45436,34,2572,2316,:0-960
45436,45435,34,2316,2572,:0-960
45437,45438,34,2572,2316,:0-960
45438,45437,34,2316,2572,:0-960
45439,45440,34,2572,2316,:0-960
45440,45439,34,2316,2572,:0-960
45441,45442,34,2572,2316,:0-960
45442,45441,34,2316,2572,:0-960
45443,45444,34,2572,2316,:0-960
45444,45443,34,2316,2572,:0-960
45445,45446,34,2572,2316,:0-960
45446,45445,34,2316,2572,:0-960
45447,45448,34,2572,2316,:0-960
45448,45447,34,2316,2572,:0-960
45449,45450,34,2572,2316,:0-960
45450,45449,34,2316,2572,:0-960
45451,45452,34,2572,2316,:0-960
45452,45451,34,2316,2572,:0-960
45453,45454,34,2572,2316,:0-960
45454,45453,34,2316,2572,:0-960
45455,45456,34,2572,2316,:0-960
45456,45455,34,2316,2572,:0-960
45457,45458,34,2572,2316,:0-960
45458,45457,34,2316,2572,:0-960
45459,45460,34,2572,2316,:0-960
45460,45459,34,2316,2572,:0-960
45461,45462,34,2572,2316,:0-960
45462,45461,34,2316,2572,:0-960
45463,45464,34,2572,2316,:0-960
45464,45463,34,2316,2572,:0-960
45465,45466,34,2572,2316,:0-960
45466,45465,34,2316,2572,:0-960
45467,45468,34,2572,2316,:0-960
45468,45467,34,2316,2572,:0-960
45528,45529,35,2572,2316,:0-960
45529,45528,35,2316,2572,:0-960
45530,45531,35,2572,2316,:0-960
45531,45530,35,2316,2572,:0-960
45532,45533,35,2572,2316,:0-960
45533,45532,35,2316,2572,:0-960
45534,45535,35,2572,2316,:0-960
45535,45534,35,2316,2572,:0-960
45536,45537,35,2572,2316,:0-960
45537,45536,35,2316,2572,:0-960
45538,45539,35,2572,2316,:0-960
45539,45538,35,2316,2572,:0-960
45540,45541,35,2572,2316,:0-960
45541,45540,35,2316,2572,:0-960
45542,45543,35,2572,2316,:0-960
45543,45542,35,2316,2572,:0-960
45544,45545,35,2572,2316,:0-960
45545,45544,35,2316,2572,:0-960
45546,45547,35,2572,2316,:0-960
45547,45546,35,2316,2572,:0-960
45548,45549,35,2572,2316,:0-960
45549,45548,35,2316,2572,:0-960
45550,45551,35,2572,2316,:0-960
45551,45550,35,2316,2572,:0-960
45552,45553,35,2572,2316,:0-960
45553,45552,35,2316,2572,:0-960
45554,45555,35,2572,2316,:0-960
45555,45554,35,2316,2572,:0-960
45556,45557,35,2572,2316,:0-960
45557,45556,35,2316,2572,:0-960
45558,45559,35,2572,2316,:0-960
45559,45558,35,2316,2572,:0-960
45560,45561,35,2572,2316,:0-960
45561,45560,35,2316,2572,:0-960
45562,45563,35,2572,2316,:0-960
45563,45562,35,2316,2572,:0-960
45564,45565,35,2572,2316,:0-960
45565,45564,35,2316,2572,:0-960
45566,45567,35,2572,2316,:0-960
45567,45566,35,2316,2572,:0-960
45568,45569,35,2572,2316,:0-960
45569,45568,35,2316,2572,:0-960
45570,45571,35,2572,2316,:0-960
45571,45570,35,2316,2572,:0-960
45572,45573,35,2572,2316,:0-960
45573,45572,35,2316,2572,:0-960
45574,45575,35,2572,2316,:0-960
45575,45574,35,2316,2572,:0-960
45971,45972,44,2572,2316,:0-960
45972,45971,44,2316,2572,:0-960
45973,45974,44,2572,2316,:0-960
45974,45973,44,2316,2572,:0-960
45975,45976,44,2572,2316,:0-960
45976,45975,44,2316,2572,:0-960
45977,45978,44,2572,2316,:0-960
45978,45977,44,2316,2572,:0-960
45979,45980,44,2572,2316,:0-960
45980,45979,44,2316,2572,:0-960
45981,45982,44,2572,2316,:0-960
45982,45981,44,2316,2572,:0-960
45983,45984,44,2572,2316,:0-960
45984,45983,44,2316,2572,:0-960
45985,45986,44,2572,2316,:0-960
45986,45985,44,2316,2572,:0-960
45987,45988,44,2572,2316,:0-960
45988,45987,44,2316,2572,:0-960
45989,45990,44,2572,2316,:0-960
45990,45989,44,2316,2572,:0-960
45991,45992,44,2572,2316,:0-960
45992,45991,44,2316,2572,:0-960
45993,45994,44,2572,2316,:0-960
45994,45993,44,2316,2572,:0-960
45995,45996,44,2572,2316,:0-960
45996,45995,44,2316,2572,:0-960
45997,45998,44,2572,2316,:0-960
45998,45997,44,2316,2572,:0-960
45999,46000,44,2572,2316,:0-960
46000,45999,44,2316,2572,:0-960
46001,46002,44,2572,2316,:0-960
46002,46001,44,2316,2572,:0-960
46003,46004,44,2572,2316,:0-960
46004,46003,44,2316,2572,:0-960
46005,46006,44,2572,2316,:0-960
46006,46005,44,2316,2572,:0-960
46007,46008,44,2572,2316,:0-960
46008,46007,44,2316,2572,:0-960
46009,46010,44,2572,2316,:0-960
46010,46009,44,2316,2572,:0-960
46011,46012,44,2572,2316,:0-960
46012,46011,44,2316,2572,:0-960
46013,46014,44,2572,2316,:0-960
46014,46013,44,2316,2572,:0-960
46015,46016,44,2572,2316,:0-960
46016,46015,44,2316,2572,:0-960
46017,46018,44,2572,2316,:0-960
46018,46017,44,2316,2572,:0-960
46078,46079,45,2572,2316,:0-960
46079,46078,45,2316,2572,:0-960
46080,46081,45,2572,2316,:0-960
46081,46080,45,2316,2572,:0-960
46082,46083,45,2572,2316,:0-960
46083,46082,45,2316,2572,:0-960
46084,46085,45,2572,2316,:0-960
46085,46084,45,2316,2572,:0-960
46086,46087,45,2572,2316,:0-960
46087,46086,45,2316,2572,:0-960
46088,46089,45,2572,2316,:0-960
46089,46088,45,2316,2572,:0-960
46090,46091,45,2572,2316,:0-960
46091,46090,45,2316,2572,:0-960
46092,46093,45,2572,2316,:0-960
46093,46092,45,2316,2572,:0-960
46094,46095,45,2572,2316,:0-960
46095,46094,45,2316,2572,:0-960
46096,46097,45,2572,2316,:0-960
46097,46096,45,2316,2572,:0-960
46098,46099,45,2572,2316,:0-960
46099,46098,45,2316,2572,:0-960
46100,46101,45,2572,2316,:0-960
46101,46100,45,2316,2572,:0-960
46102,46103,45,2572,2316,:0-960
46103,46102,45,2316,2572,:0-960
46104,46105,45,2572,2316,:0-960
46105,46104,45,2316,2572,:0-960
46106,46107,45,2572,2316,:0-960
46107,46106,45,2316,2572,:0-960
46108,46109,45,2572,2316,:0-960
46109,46108,45,2316,2572,:0-960
46110,46111,45,2572,2316,:0-960
46111,46110,45,2316,2572,:0-960
46112,46113,45,2572,2316,:0-960
46113,46112,45,2316,2572,:0-960
46114,46115,45,2572,2316,:0-960
46115,46114,45,2316,2572,:0-960
46116,46117,45,2572,2316,:0-960
46117,46116,45,2316,2572,:0-960
46118,46119,45,2572,2316,:0-960
46119,46118,45,2316,2572,:0-960
46120,46121,45,2572,2316,:0-960
46121,46120,45,2316,2572,:0-960
46122,46123,45,2572,2316,:0-960
46123,46122,45,2316,2572,:0-960
46124,46125,45,2572,2316,:0-960
46125,46124,45,2316,2572,:0-960
46521,46522,54,2572,2316,:0-960
46522,46521,54,2316,2572,:0-960
46523,46524,54,2572,2316,:0-960
46524,46523,54,2316,2572,:0-960
46525,46526,54,2572,2316,:0-960
46526,46525,54,2316,2572,:0-960
46527,46528,54,2572,2316,:0-960
46528,46527,54,2316,2572,:0-960
46529,46530,54,2572,2316,:0-960
46530,46529,54,2316,2572,:0-960
46531,46532,54,2572,2316,:0-960
46532,46531,54,2316,2572,:0-960
46533,46534,54,2572,2316,:0-960
46534,46533,54,2316,2572,:0-960
46535,46536,54,2572,2316,:0-960
46536,46535,54,2316,2572,:0-960
46537,46538,54,2572,2316,:0-960
46538,46537,54,2316,2572,:0-960
46539,46540,54,2572,2316,:0-960
46540,46539,54,2316,2572,:0-960
46541,46542,54,2572,2316,:0-960
46542,46541,54,2316,2572,:0-960
46543,46544,54,2572,2316,:0-960
46544,46543,54,2316,2572,:0-960
46545,46546,54,2572,2316,:0-960
46546,46545,54,2316,2572,:0-960
46547,46548,54,2572,2316,:0-960
46548,46547,54,2316,2572,:0-960
46549,46550,54,2572,2316,:0-960
46550,46549,54,2316,2572,:0-960
46551,46552,54,2572,2316,:0-960
46552,46551,54,2316,2572,:0-960
46553,46554,54,2572,2316,:0-960
46554,46553,54,2316,2572,:0-960
46555,46556,54,2572,2316,:0-960
46556,46555,54,2316,2572,:0-960
46557,46558,54,2572,2316,:0-960
46558,46557,54,2316,2572,:0-960
46559,46560,54,2572,2316,:0-960
46560,46559,54,2316,2572,:0-960
46561,46562,54,2572,2316,:0-960
46562,46561,54,2316,2572,:0-960
46563,46564,54,2572,2316,:0-960
46564,46563,54,2316,2572,:0-960
46565,46566,54,2572,2316,:0-960
46566,46565,54,2316,2572,:0-960
46567,46568,54,2572,2316,:0-960
46568,46567,54,2316,2572,:0-960
46628,46629,55,2572,2316,:0-960
46629,46628,55,2316,2572,:0-960
46630,46631,55,2572,2316,:0-960
46631,46630,55,2316,2572,:0-960
46632,46633,55,2572,2316,:0-960
46633,46632,55,2316,2572,:0-960
46634,46635,55,2572,2316,:0-960
46635,46634,55,2316,2572,:0-960
46636,46637,55,2572,2316,:0-960
46637,46636,55,2316,2572,:0-960
46638,46639,55,2572,2316,:0-960
46639,46638,55,2316,2572,:0-960
46640,46641,55,2572,2316,:0-960
46641,46640,55,2316,2572,:0-960
46642,46643,55,2572,2316,:0-960
46643,46642,55,2316,2572,:0-960
46644,46645,55,2572,2316,:0-960
46645,46644,55,2316,2572,:0-960
46646,46647,55,2572,2316,:0-960
46647,46646,55,2316,2572,:0-960
46648,46649,55,2572,2316,:0-960
46649,46648,55,2316,2572,:0-960
46650,46651,55,2572,2316,:0-960
46651,46650,55,2316,2572,:0-960
46652,46653,55,2572,2316,:0-960
46653,46652,55,2316,2572,:0-960
46654,46655,55,2572,2316,:0-960
46655,46654,55,2316,2572,:0-960
46656,46657,55,2572,2316,:0-960
46657,46656,55,2316,2572,:0-960
46658,46659,55,2572,2316,:0-960
46659,46658,55,2316,2572,:0-960
46660,46661,55,2572,2316,:0-960
46661,46660,55,2316,2572,:0-960
46662,46663,55,2572,2316,:0-960
46663,46662,55,2316,2572,:0-960
46664,46665,55,2572,2316,:0-960
46665,46664,55,2316,2572,:0-960
46666,46667,55,2572,2316,:0-960
46667,46666,55,2316,2572,:0-960
46668,46669,55,2572,2316,:0-960
46669,46668,55,2316,2572,:0-960
46670,46671,55,2572,2316,:0-960
46671,46670,55,2316,2572,:0-960
46672,46673,55,2572,2316,:0-960
46673,46672,55,2316,2572,:0-960
46674,46675,55,2572,2316,:0-960
46675,46674,55,2316,2572,:0-960
47071,47072,64,2572,2316,:0-960
47072,47071,64,2316,2572,:0-960
47073,47074,64,2572,2316,:0-960
47074,47073,64,2316,2572,:0-960
47075,47076,64,2572,2316,:0-960
47076,47075,64,2316,2572,:0-960
47077,47078,64,2572,2316,:0-960
47078,47077,64,2316,2572,:0-960
47079,47080,64,2572,2316,:0-960
47080,47079,64,2316,2572,:0-960
47081,47082,64,2572,2316,:0-960
47082,47081,64,2316,2572,:0-960
47083,47084,64,2572,2316,:0-960
47084,47083,64,2316,2572,:0-960
47085,47086,64,2572,2316,:0-960
47086,47085,64,2316,2572,:0-960
47087,47088,64,2572,2316,:0-960
47088,47087,64,2316,2572,:0-960
47089,47090,64,2572,2316,:0-960
47090,47089,64,2316,2572,:0-960
47091,47092,64,2572,2316,:0-960
47092,47091,64,2316,2572,:0-960
47093,47094,64,2572,2316,:0-960
47094,47093,64,2316,2572,:0-960
47095,47096,64,2572,2316,:0-960
47096,47095,64,2316,2572,:0-960
47097,47098,64,2572,2316,:0-960
47098,47097,64,2316,2572,:0-960
47099,47100,64,2572,2316,:0-960
47100,47099,64,2316,2572,:0-960
47101,47102,64,2572,2316,:0-960
47102,47101,64,2316,2572,:0-960
47103,47104,64,2572,2316,:0-960
47104,47103,64,2316,2572,:0-960
47105,47106,64,2572,2316,:0-960
47106,47105,64,2316,2572,:0-960
47107,47108,64,2572,2316,:0-960
47108,47107,64,2316,2572,:0-960
47109,47110,64,2572,2316,:0-960
47110,47109,64,2316,2572,:0-960
47111,47112,64,2572,2316,:0-960
47112,47111,64,2316,2572,:0-960
47113,47114,64,2572,2316,:0-960
47114,47113,64,2316,2572,:0-960
47115,47116,64,2572,2316,:0-960
47116,47115,64,2316,2572,:0-960
47117,47118,64,2572,2316,:0-960
47118,47117,64,2316,2572,:0-960
47178,47179,65,2572,2316,:0-960
47179,47178,65,2316,2572,:0-960
47180,47181,65,2572,2316,:0-960
47181,47180,65,2316,2572,:0-960
47182,47183,65,2572,2316,:0-960
47183,47182,65,2316,2572,:0-960
47184,47185,65,2572,2316,:0-960
47185,47184,65,2316,2572,:0-960
47186,47187,65,2572,2316,:0-960
47187,47186,65,2316,2572,:0-960
47188,47189,65,2572,2316,:0-960
47189,47188,65,2316,2572,:0-960
47190,47191,65,2572,2316,:0-960
47191,47190,65,2316,2572,:0-960
47192,47193,65,2572,2316,:0-960
47193,47192,65,2316,2572,:0-960
47194,47195,65,2572,2316,:0-960
47195,47194,65,2316,2572,:0-960
47196,47197,65,2572,2316,:0-960
47197,47196,65,2316,2572,:0-960
47198,47199,65,2572,2316,:0-960
47199,47198,65,2316,2572,:0-960
47200,47201,65,2572,2316,:0-960
47201,47200,65,2316,2572,:0-960
47202,47203,65,2572,2316,:0-960
47203,47202,65,2316,2572,:0-960
47204,47205,65,2572,2316,:0-960
47205,47204,65,2316,2572,:0-960
47206,47207,65,2572,2316,:0-960
47207,47206,65,2316,2572,:0-960
47208,47209,65,2572,2316,:0-960
47209,47208,65,2316,2572,:0-960
47210,47211,65,2572,2316,:0-960
47211,47210,65,2316,2572,:0-960
47212,47213,65,2572,2316,:0-960
47213,47212,65,2316,2572,:0-960
47214,47215,65,2572,2316,:0-960
47215,47214,65,2316,2572,:0-960
47216,47217,65,2572,2316,:0-960
47217,47216,65,2316,2572,:0-960
47218,47219,65,2572,2316,:0-960
47219,47218,65,2316,2572,:0-960
47220,47221,65,2572,2316,:0-960
47221,47220,65,2316,2572,:0-960
47222,47223,65,2572,2316,:0-960
47223,47222,65,2316,2572,:0-960
47224,47225,65,2572,2316,:0-960
47225,47224,65,2316,2572,:0-960
47621,47622,74,2572,2316,:0-960
47622,47621,74,2316,2572,:0-960
47623,47624,74,2572,2316,:0-960
47624,47623,74,2316,2572,:0-960
47625,47626,74,2572,2316,:0-960
47626,47625,74,2316,2572,:0-960
47627,47628,74,2572,2316,:0-960
47628,47627,74,2316,2572,:0-960
47629,47630,74,2572,2316,:0-960
47630,47629,74,2316,2572,:0-960
47631,47632,74,2572,2316,:0-960
47632,47631,74,2316,2572,:0-960
47633,47634,74,2572,2316,:0-960
47634,47633,74,2316,2572,:0-960
47635,47636,74,2572,2316,:0-960
47636,47635,74,2316,2572,:0-960
47637,47638,74,2572,2316,:0-960
47638,47637,74,2316,2572,:0-960
47639,47640,74,2572,2316,:0-960
47640,47639,74,2316,2572,:0-960
47641,47642,74,2572,2316,:0-960
47642,47641,74,2316,2572,:0-960
47643,47644,74,2572,2316,:0-960
47644,47643,74,2316,2572,:0-960
47645,47646,74,2572,2316,:0-960
47646,47645,74,2316,2572,:0-960
47647,47648,74,2572,2316,:0-960
47648,47647,74,2316,2572,:0-960
47649,47650,74,2572,2316,:0-960
47650,47649,74,2316,2572,:0-960
47651,47652,74,2572,2316,:0-960
47652,47651,74,2316,2572,:0-960
47653,47654,74,2572,2316,:0-960
47654,47653,74,2316,2572,:0-960
47655,47656,74,2572,2316,:0-960
47656,47655,74,2316,2572,:0-960
47657,47658,74,2572,2316,:0-960
47658,47657,74,2316,2572,:0-960
47659,47660,74,2572,2316,:0-960
47660,47659,74,2316,2572,:0-960
47661,47662,74,2572,2316,:0-960
47662,47661,74,2316,2572,:0-960
47663,47664,74,2572,2316,:0-960
47664,47663,74,2316,2572,:0-960
47665,47666,74,2572,2316,:0-960
47666,47665,74,2316,2572,:0-960
47667,47668,74,2572,2316,:0-960
47668,47667,74,2316,2572,:0-960
47728,47729,75,2572,2316,:0-960
47729,47728,75,2316,2572,:0-960
47730,47731,75,2572,2316,:0-960
47731,47730,75,2316,2572,:0-960
47732,47733,75,2572,2316,:0-960
47733,47732,75,2316,2572,:0-960
47734,47735,75,2572,2316,:0-960
47735,47734,75,2316,2572,:0-960
47736,47737,75,2572,2316,:0-960
47737,47736,75,2316,2572,:0-960
47738,47739,75,2572,2316,:0-960
47739,47738,75,2316,2572,:0-960
47740,47741,75,2572,2316,:0-960
