src,snk,sourceOtu,targetOtu,m_width,bandType,sourceDimColors,targetDimColors
822,813,2259,1820,24,0,:168-192:960-964,:168-192:960-964
822,813,2260,1821,24,0,:192-216:960-964,:192-216:960-964
822,813,2261,1822,24,0,:216-240:960-964,:216-240:960-964
822,813,2262,1823,24,0,:240-264:960-964,:240-264:960-964
822,813,2263,1824,24,0,:264-288:960-964,:264-288:960-964
822,813,2264,1825,24,0,:288-312:960-964,:288-312:960-964
822,813,2265,1826,24,0,:312-336:960-964,:312-336:960-964
822,813,2266,1827,24,0,:336-360:960-964,:336-360:960-964
822,813,2267,1828,24,0,:360-384:960-964,:360-384:960-964
822,813,2268,1829,24,0,:384-408:960-964,:384-408:960-964
822,813,2269,1830,24,0,:408-432:960-964,:408-432:960-964
822,813,2270,1831,24,0,:432-456:960-964,:432-456:960-964
822,813,2271,1832,24,0,:456-480:960-964,:456-480:960-964
822,813,2272,1833,24,0,:480-504:960-964,:480-504:960-964
822,813,2273,1834,24,0,:504-528:960-964,:504-528:960-964
822,813,2274,1835,24,0,:528-552:960-964,:528-552:960-964
822,813,2275,1836,24,0,:552-576:960-964,:552-576:960-964
822,813,2276,1837,24,0,:576-600:960-964,:576-600:960-964
822,813,2277,1838,24,0,:600-624:960-964,:600-624:960-964
822,813,2278,1839,24,0,:624-648:960-964,:624-648:960-964
822,813,2279,1840,24,0,:648-672:960-964,:648-672:960-964
822,813,2280,1841,24,0,:672-696:960-964,:672-696:960-964
822,813,2281,1842,24,0,:696-720:960-964,:696-720:960-964
822,813,2282,1843,24,0,:720-744:960-964,:720-744:960-964
822,813,2283,1844,24,0,:744-768:960-964,:744-768:960-964
822,813,2284,1845,24,0,:768-792:960-964,:768-792:960-964
822,813,2285,1846,24,0,:792-816:960-964,:792-816:960-964
822,813,2286,1847,24,0,:816-840:960-964,:816-840:960-964
822,813,2287,1848,24,0,:840-864:960-964,:840-864:960-964
822,813,2288,1849,24,0,:864-888:960-964,:864-888:960-964
822,813,2289,1850,24,0,:888-912:960-964,:888-912:960-964
822,813,2290,1851,24,0,:912-936:960-964,:912-936:960-964
822,813,2291,1852,24,0,:936-964,:936-964
832,823,2802,2363,24,0,:0-24:960-964,:0-24:960-964
832,823,2803,2364,24,0,:24-48:960-964,:24-48:960-964
832,823,2804,2365,24,0,:48-72:960-964,:48-72:960-964
832,823,2805,2366,24,0,:72-96:960-964,:72-96:960-964
832,823,2806,2367,24,0,:96-120:960-964,:96-120:960-964
832,823,2807,2368,24,0,:120-144:960-964,:120-144:960-964
832,823,2808,2369,24,0,:144-168:960-964,:144-168:960-964
832,823,2809,2370,24,0,:168-192:960-964,:168-192:960-964
832,823,2810,2371,24,0,:192-216:960-964,:192-216:960-964
832,823,2811,2372,24,0,:216-240:960-964,:216-240:960-964
832,823,2812,2373,24,0,:240-264:960-964,:240-264:960-964
832,823,2813,2374,24,0,:264-288:960-964,:264-288:960-964
832,823,2814,2375,24,0,:288-312:960-964,:288-312:960-964
832,823,2815,2376,24,0,:312-336:960-964,:312-336:960-964
832,823,2816,2377,24,0,:336-360:960-964,:336-360:960-964
832,823,2817,2378,24,0,:360-384:960-964,:360-384:960-964
832,823,2818,2379,24,0,:384-408:960-964,:384-408:960-964
832,823,2819,2380,24,0,:408-432:960-964,:408-432:960-964
832,823,2820,2381,24,0,:432-456:960-964,:432-456:960-964
832,823,2821,2382,24,0,:456-480:960-964,:456-480:960-964
832,823,2822,2383,24,0,:480-504:960-964,:480-504:960-964
832,823,2823,2384,24,0,:504-528:960-964,:504-528:960-964
832,823,2824,2385,24,0,:528-552:960-964,:528-552:960-964
832,823,2825,2386,24,0,:552-576:960-964,:552-576:960-964
832,823,2826,2387,24,0,:576-600:960-964,:576-600:960-964
832,823,2827,2388,24,0,:600-624:960-964,:600-624:960-964
832,823,2828,2389,24,0,:624-648:960-964,:624-648:960-964
832,823,2829,2390,24,0,:648-672:960-964,:648-672:960-964
832,823,2830,2391,24,0,:672-696:960-964,:672-696:960-964
832,823,2831,2392,24,0,:696-720:960-964,:696-720:960-964
832,823,2832,2393,24,0,:720-744:960-964,:720-744:960-964
832,823,2833,2394,24,0,:744-768:960-964,:744-768:960-964
832,823,2834,2395,24,0,:768-792:960-964,:768-792:960-964
832,823,2835,2396,24,0,:792-816:960-964,:792-816:960-964
832,823,2836,2397,24,0,:816-840:960-964,:816-840:960-964
832,823,2837,2398,24,0,:840-864:960-964,:840-864:960-964
832,823,2838,2399,24,0,:864-888:960-964,:864-888:960-964
832,823,2839,2400,24,0,:888-912:960-964,:888-912:960-964
832,823,2840,2401,24,0,:912-936:960-964,:912-936:960-964
832,823,2841,2402,24,0,:936-964,:936-964
842,833,3352,2913,24,0,:0-24:960-964,:0-24:960-964
842,833,3353,2914,24,0,:24-48:960-964,:24-48:960-964
842,833,3354,2915,24,0,:48-72:960-964,:48-72:960-964
842,833,3355,2916,24,0,:72-96:960-964,:72-96:960-964
842,833,3356,2917,24,0,:96-120:960-964,:96-120:960-964
842,833,3357,2918,24,0,:120-144:960-964,:120-144:960-964
842,833,3358,2919,24,0,:144-168:960-964,:144-168:960-964
842,833,3359,2920,24,0,:168-192:960-964,:168-192:960-964
842,833,3360,2921,24,0,:192-216:960-964,:192-216:960-964
842,833,3361,2922,24,0,:216-240:960-964,:216-240:960-964
842,833,3362,2923,24,0,:240-264:960-964,:240-264:960-964
842,833,3363,2924,24,0,:264-288:960-964,:264-288:960-964
842,833,3364,2925,24,0,:288-312:960-964,:288-312:960-964
842,833,3365,2926,24,0,:312-336:960-964,:312-336:960-964
842,833,3366,2927,24,0,:336-360:960-964,:336-360:960-964
842,833,3367,2928,24,0,:360-384:960-964,:360-384:960-964
842,833,3368,2929,24,0,:384-408:960-964,:384-408:960-964
842,833,3369,2930,24,0,:408-432:960-964,:408-432:960-964
842,833,3370,2931,24,0,:432-456:960-964,:432-456:960-964
842,833,3371,2932,24,0,:456-480:960-964,:456-480:960-964
842,833,3372,2933,24,0,:480-504:960-964,:480-504:960-964
842,833,3373,2934,24,0,:504-528:960-964,:504-528:960-964
842,833,3374,2935,24,0,:528-552:960-964,:528-552:960-964
842,833,3375,2936,24,0,:552-576:960-964,:552-576:960-964
842,833,3376,2937,24,0,:576-600:960-964,:576-600:960-964
842,833,3377,2938,24,0,:600-624:960-964,:600-624:960-964
842,833,3378,2939,24,0,:624-648:960-964,:624-648:960-964
842,833,3379,2940,24,0,:648-672:960-964,:648-672:960-964
842,833,3380,2941,24,0,:672-696:960-964,:672-696:960-964
842,833,3381,2942,24,0,:696-720:960-964,:696-720:960-964
842,833,3382,2943,24,0,:720-744:960-964,:720-744:960-964
842,833,3383,2944,24,0,:744-768:960-964,:744-768:960-964
842,833,3384,2945,24,0,:768-792:960-964,:768-792:960-964
842,833,3385,2946,24,0,:792-816:960-964,:792-816:960-964
842,833,3386,2947,24,0,:816-840:960-964,:816-840:960-964
842,833,3387,2948,24,0,:840-864:960-964,:840-864:960-964
842,833,3388,2949,24,0,:864-888:960-964,:864-888:960-964
842,833,3389,2950,24,0,:888-912:960-964,:888-912:960-964
842,833,3390,2951,24,0,:912-936:960-964,:912-936:960-964
842,833,3391,2952,24,0,:936-964,:936-964
852,843,3902,3463,24,0,:0-24:960-964,:0-24:960-964
852,843,3903,3464,24,0,:24-48:960-964,:24-48:960-964
852,843,3904,3465,24,0,:48-72:960-964,:48-72:960-964
852,843,3905,3466,24,0,:72-96:960-964,:72-96:960-964
852,843,3906,3467,24,0,:96-120:960-964,:96-120:960-964
852,843,3907,3468,24,0,:120-144:960-964,:120-144:960-964
852,843,3908,3469,24,0,:144-168:960-964,:144-168:960-964
852,843,3909,3470,24,0,:168-192:960-964,:168-192:960-964
852,843,3910,3471,24,0,:192-216:960-964,:192-216:960-964
852,843,3911,3472,24,0,:216-240:960-964,:216-240:960-964
852,843,3912,3473,24,0,:240-264:960-964,:240-264:960-964
852,843,3913,3474,24,0,:264-288:960-964,:264-288:960-964
852,843,3914,3475,24,0,:288-312:960-964,:288-312:960-964
852,843,3915,3476,24,0,:312-336:960-964,:312-336:960-964
852,843,3916,3477,24,0,:336-360:960-964,:336-360:960-964
852,843,3917,3478,24,0,:360-384:960-964,:360-384:960-964
852,843,3918,3479,24,0,:384-408:960-964,:384-408:960-964
852,843,3919,3480,24,0,:408-432:960-964,:408-432:960-964
852,843,3920,3481,24,0,:432-456:960-964,:432-456:960-964
852,843,3921,3482,24,0,:456-480:960-964,:456-480:960-964
852,843,3922,3483,24,0,:480-504:960-964,:480-504:960-964
852,843,3923,3484,24,0,:504-528:960-964,:504-528:960-964
852,843,3924,3485,24,0,:528-552:960-964,:528-552:960-964
852,843,3925,3486,24,0,:552-576:960-964,:552-576:960-964
852,843,3926,3487,24,0,:576-600:960-964,:576-600:960-964
852,843,3927,3488,24,0,:600-624:960-964,:600-624:960-964
852,843,3928,3489,24,0,:624-648:960-964,:624-648:960-964
852,843,3929,3490,24,0,:648-672:960-964,:648-672:960-964
852,843,3930,3491,24,0,:672-696:960-964,:672-696:960-964
852,843,3931,3492,24,0,:696-720:960-964,:696-720:960-964
852,843,3932,3493,24,0,:720-744:960-964,:720-744:960-964
852,843,3933,3494,24,0,:744-768:960-964,:744-768:960-964
852,843,3934,3495,24,0,:768-792:960-964,:768-792:960-964
852,843,3935,3496,24,0,:792-816:960-964,:792-816:960-964
852,843,3936,3497,24,0,:816-840:960-964,:816-840:960-964
852,843,3937,3498,24,0,:840-864:960-964,:840-864:960-964
852,843,3938,3499,24,0,:864-888:960-964,:864-888:960-964
852,843,3939,3500,24,0,:888-912:960-964,:888-912:960-964
852,843,3940,3501,24,0,:912-936:960-964,:912-936:960-964
852,843,3941,3502,24,0,:936-964,:936-964
862,853,4452,4013,24,0,:0-24:960-964,:0-24:960-964
862,853,4453,4014,24,0,:24-48:960-964,:24-48:960-964
862,853,4454,4015,24,0,:48-72:960-964,:48-72:960-964
862,853,4455,4016,24,0,:72-96:960-964,:72-96:960-964
862,853,4456,4017,24,0,:96-120:960-964,:96-120:960-964
862,853,4457,4018,24,0,:120-144:960-964,:120-144:960-964
862,853,4458,4019,24,0,:144-168:960-964,:144-168:960-964
862,853,4459,4020,24,0,:168-192:960-964,:168-192:960-964
862,853,4460,4021,24,0,:192-216:960-964,:192-216:960-964
862,853,4461,4022,24,0,:216-240:960-964,:216-240:960-964
862,853,4462,4023,24,0,:240-264:960-964,:240-264:960-964
862,853,4463,4024,24,0,:264-288:960-964,:264-288:960-964
862,853,4464,4025,24,0,:288-312:960-964,:288-312:960-964
862,853,4465,4026,24,0,:312-336:960-964,:312-336:960-964
862,853,4466,4027,24,0,:336-360:960-964,:336-360:960-964
862,853,4467,4028,24,0,:360-384:960-964,:360-384:960-964
862,853,4468,4029,24,0,:384-408:960-964,:384-408:960-964
862,853,4469,4030,24,0,:408-432:960-964,:408-432:960-964
862,853,4470,4031,24,0,:432-456:960-964,:432-456:960-964
862,853,4471,4032,24,0,:456-480:960-964,:456-480:960-964
862,853,4472,4033,24,0,:480-504:960-964,:480-504:960-964
862,853,4473,4034,24,0,:504-528:960-964,:504-528:960-964
862,853,4474,4035,24,0,:528-552:960-964,:528-552:960-964
862,853,4475,4036,24,0,:552-576:960-964,:552-576:960-964
862,853,4476,4037,24,0,:576-600:960-964,:576-600:960-964
862,853,4477,4038,24,0,:600-624:960-964,:600-624:960-964
862,853,4478,4039,24,0,:624-648:960-964,:624-648:960-964
862,853,4479,4040,24,0,:648-672:960-964,:648-672:960-964
862,853,4480,4041,24,0,:672-696:960-964,:672-696:960-964
862,853,4481,4042,24,0,:696-720:960-964,:696-720:960-964
862,853,4482,4043,24,0,:720-744:960-964,:720-744:960-964
862,853,4483,4044,24,0,:744-768:960-964,:744-768:960-964
862,853,4484,4045,24,0,:768-792:960-964,:768-792:960-964
862,853,4485,4046,24,0,:792-816:960-964,:792-816:960-964
862,853,4486,4047,24,0,:816-840:960-964,:816-840:960-964
862,853,4487,4048,24,0,:840-864:960-964,:840-864:960-964
862,853,4488,4049,24,0,:864-888:960-964,:864-888:960-964
862,853,4489,4050,24,0,:888-912:960-964,:888-912:960-964
862,853,4490,4051,24,0,:912-936:960-964,:912-936:960-964
862,853,4491,4052,24,0,:936-964,:936-964
872,863,5003,4564,24,0,:0-24:960-964,:0-24:960-964
872,863,5004,4565,24,0,:24-48:960-964,:24-48:960-964
872,863,5005,4566,24,0,:48-72:960-964,:48-72:960-964
872,863,5006,4567,24,0,:72-96:960-964,:72-96:960-964
872,863,5007,4568,24,0,:96-120:960-964,:96-120:960-964
872,863,5008,4569,24,0,:120-144:960-964,:120-144:960-964
872,863,5009,4570,24,0,:144-168:960-964,:144-168:960-964
872,863,5010,4571,24,0,:168-192:960-964,:168-192:960-964
872,863,5011,4572,24,0,:192-216:960-964,:192-216:960-964
872,863,5012,4573,24,0,:216-240:960-964,:216-240:960-964
872,863,5013,4574,24,0,:240-264:960-964,:240-264:960-964
872,863,5014,4575,24,0,:264-288:960-964,:264-288:960-964
872,863,5015,4576,24,0,:288-312:960-964,:288-312:960-964
872,863,5016,4577,24,0,:312-336:960-964,:312-336:960-964
872,863,5017,4578,24,0,:336-360:960-964,:336-360:960-964
872,863,5018,4579,24,0,:360-384:960-964,:360-384:960-964
872,863,5019,4580,24,0,:384-408:960-964,:384-408:960-964
872,863,5020,4581,24,0,:408-432:960-964,:408-432:960-964
872,863,5021,4582,24,0,:432-456:960-964,:432-456:960-964
872,863,5022,4583,24,0,:456-480:960-964,:456-480:960-964
872,863,5023,4584,24,0,:480-504:960-964,:480-504:960-964
872,863,5024,4585,24,0,:504-528:960-964,:504-528:960-964
872,863,5025,4586,24,0,:528-552:960-964,:528-552:960-964
872,863,5026,4587,24,0,:552-576:960-964,:552-576:960-964
872,863,5027,4588,24,0,:576-600:960-964,:576-600:960-964
872,863,5028,4589,24,0,:600-624:960-964,:600-624:960-964
872,863,5029,4590,24,0,:624-648:960-964,:624-648:960-964
872,863,5030,4591,24,0,:648-672:960-964,:648-672:960-964
872,863,5031,4592,24,0,:672-696:960-964,:672-696:960-964
872,863,5032,4593,24,0,:696-720:960-964,:696-720:960-964
872,863,5033,4594,24,0,:720-744:960-964,:720-744:960-964
872,863,5034,4595,24,0,:744-768:960-964,:744-768:960-964
872,863,5035,4596,24,0,:768-792:960-964,:768-792:960-964
872,863,5036,4597,24,0,:792-816:960-964,:792-816:960-964
872,863,5037,4598,24,0,:816-840:960-964,:816-840:960-964
872,863,5038,4599,24,0,:840-864:960-964,:840-864:960-964
872,863,5039,4600,24,0,:864-888:960-964,:864-888:960-964
872,863,5040,4601,24,0,:888-912:960-964,:888-912:960-964
872,863,5041,4602,24,0,:912-936:960-964,:912-936:960-964
872,863,5042,4603,24,0,:936-964,:936-964
882,873,5553,5114,24,0,:0-24:960-964,:0-24:960-964
882,873,5554,5115,24,0,:24-48:960-964,:24-48:960-964
882,873,5555,5116,24,0,:48-72:960-964,:48-72:960-964
882,873,5556,5117,24,0,:72-96:960-964,:72-96:960-964
882,873,5557,5118,24,0,:96-120:960-964,:96-120:960-964
882,873,5558,5119,24,0,:120-144:960-964,:120-144:960-964
882,873,5559,5120,24,0,:144-168:960-964,:144-168:960-964
882,873,5560,5121,24,0,:168-192:960-964,:168-192:960-964
882,873,5561,5122,24,0,:192-216:960-964,:192-216:960-964
882,873,5562,5123,24,0,:216-240:960-964,:216-240:960-964
882,873,5563,5124,24,0,:240-264:960-964,:240-264:960-964
882,873,5564,5125,24,0,:264-288:960-964,:264-288:960-964
882,873,5565,5126,24,0,:288-312:960-964,:288-312:960-964
882,873,5566,5127,24,0,:312-336:960-964,:312-336:960-964
882,873,5567,5128,24,0,:336-360:960-964,:336-360:960-964
882,873,5568,5129,24,0,:360-384:960-964,:360-384:960-964
882,873,5569,5130,24,0,:384-408:960-964,:384-408:960-964
882,873,5570,5131,24,0,:408-432:960-964,:408-432:960-964
882,873,5571,5132,24,0,:432-456:960-964,:432-456:960-964
882,873,5572,5133,24,0,:456-480:960-964,:456-480:960-964
882,873,5573,5134,24,0,:480-504:960-964,:480-504:960-964
882,873,5574,5135,24,0,:504-528:960-964,:504-528:960-964
882,873,5575,5136,24,0,:528-552:960-964,:528-552:960-964
882,873,5576,5137,24,0,:552-576:960-964,:552-576:960-964
882,873,5577,5138,24,0,:576-600:960-964,:576-600:960-964
882,873,5578,5139,24,0,:600-624:960-964,:600-624:960-964
882,873,5579,5140,24,0,:624-648:960-964,:624-648:960-964
882,873,5580,5141,24,0,:648-672:960-964,:648-672:960-964
882,873,5581,5142,24,0,:672-696:960-964,:672-696:960-964
882,873,5582,5143,24,0,:696-720:960-964,:696-720:960-964
882,873,5583,5144,24,0,:720-744:960-964,:720-744:960-964
882,873,5584,5145,24,0,:744-768:960-964,:744-768:960-964
882,873,5585,5146,24,0,:768-792:960-964,:768-792:960-964
882,873,5586,5147,24,0,:792-816:960-964,:792-816:960-964
882,873,5587,5148,24,0,:816-840:960-964,:816-840:960-964
882,873,5588,5149,24,0,:840-864:960-964,:840-864:960-964
882,873,5589,5150,24,0,:864-888:960-964,:864-888:960-964
882,873,5590,5151,24,0,:888-912:960-964,:888-912:960-964
882,873,5591,5152,24,0,:912-936:960-964,:912-936:960-964
882,873,5592,5153,24,0,:936-964,:936-964
892,883,6103,5664,24,0,:0-24:960-964,:0-24:960-964
892,883,6104,5665,24,0,:24-48:960-964,:24-48:960-964
892,883,6105,5666,24,0,:48-72:960-964,:48-72:960-964
892,883,6106,5667,24,0,:72-96:960-964,:72-96:960-964
892,883,6107,5668,24,0,:96-120:960-964,:96-120:960-964
892,883,6108,5669,24,0,:120-144:960-964,:120-144:960-964
892,883,6109,5670,24,0,:144-168:960-964,:144-168:960-964
892,883,6110,5671,24,0,:168-192:960-964,:168-192:960-964
892,883,6111,5672,24,0,:192-216:960-964,:192-216:960-964
892,883,6112,5673,24,0,:216-240:960-964,:216-240:960-964
892,883,6113,5674,24,0,:240-264:960-964,:240-264:960-964
892,883,6114,5675,24,0,:264-288:960-964,:264-288:960-964
892,883,6115,5676,24,0,:288-312:960-964,:288-312:960-964
892,883,6116,5677,24,0,:312-336:960-964,:312-336:960-964
892,883,6117,5678,24,0,:336-360:960-964,:336-360:960-964
892,883,6118,5679,24,0,:360-384:960-964,:360-384:960-964
892,883,6119,5680,24,0,:384-408:960-964,:384-408:960-964
892,883,6120,5681,24,0,:408-432:960-964,:408-432:960-964
892,883,6121,5682,24,0,:432-456:960-964,:432-456:960-964
892,883,6122,5683,24,0,:456-480:960-964,:456-480:960-964
892,883,6123,5684,24,0,:480-504:960-964,:480-504:960-964
892,883,6124,5685,24,0,:504-528:960-964,:504-528:960-964
892,883,6125,5686,24,0,:528-552:960-964,:528-552:960-964
892,883,6126,5687,24,0,:552-576:960-964,:552-576:960-964
892,883,6127,5688,24,0,:576-600:960-964,:576-600:960-964
892,883,6128,5689,24,0,:600-624:960-964,:600-624:960-964
892,883,6129,5690,24,0,:624-648:960-964,:624-648:960-964
892,883,6130,5691,24,0,:648-672:960-964,:648-672:960-964
892,883,6131,5692,24,0,:672-696:960-964,:672-696:960-964
892,883,6132,5693,24,0,:696-720:960-964,:696-720:960-964
892,883,6133,5694,24,0,:720-744:960-964,:720-744:960-964
892,883,6134,5695,24,0,:744-768:960-964,:744-768:960-964
892,883,6135,5696,24,0,:768-792:960-964,:768-792:960-964
892,883,6136,5697,24,0,:792-816:960-964,:792-816:960-964
892,883,6137,5698,24,0,:816-840:960-964,:816-840:960-964
892,883,6138,5699,24,0,:840-864:960-964,:840-864:960-964
892,883,6139,5700,24,0,:864-888:960-964,:864-888:960-964
892,883,6140,5701,24,0,:888-912:960-964,:888-912:960-964
892,883,6141,5702,24,0,:912-936:960-964,:912-936:960-964
892,883,6142,5703,24,0,:936-964,:936-964
9,0,44042,43603,24,0,:0-24:960-964,:0-24:960-964
9,0,44043,43604,24,0,:24-48:960-964,:24-48:960-964
9,0,44044,43605,24,0,:48-72:960-964,:48-72:960-964
9,0,44045,43606,24,0,:72-96:960-964,:72-96:960-964
9,0,44046,43607,24,0,:96-120:960-964,:96-120:960-964
9,0,44047,43608,24,0,:120-144:960-964,:120-144:960-964
9,0,44048,43609,24,0,:144-168:960-964,:144-168:960-964
9,0,44049,43610,24,0,:168-192:960-964,:168-192:960-964
9,0,44050,43611,24,0,:192-216:960-964,:192-216:960-964
9,0,44051,43612,24,0,:216-240:960-964,:216-240:960-964
9,0,44052,43613,24,0,:240-264:960-964,:240-264:960-964
9,0,44053,43614,24,0,:264-288:960-964,:264-288:960-964
9,0,44054,43615,24,0,:288-312:960-964,:288-312:960-964
9,0,44055,43616,24,0,:312-336:960-964,:312-336:960-964
9,0,44056,43617,24,0,:336-360:960-964,:336-360:960-964
9,0,44057,43618,24,0,:360-384:960-964,:360-384:960-964
9,0,44058,43619,24,0,:384-408:960-964,:384-408:960-964
9,0,44059,43620,24,0,:408-432:960-964,:408-432:960-964
9,0,44060,43621,24,0,:432-456:960-964,:432-456:960-964
9,0,44061,43622,24,0,:456-480:960-964,:456-480:960-964
9,0,44062,43623,24,0,:480-504:960-964,:480-504:960-964
9,0,44063,43624,24,0,:504-528:960-964,:504-528:960-964
9,0,44064,43625,24,0,:528-552:960-964,:528-552:960-964
9,0,44065,43626,24,0,:552-576:960-964,:552-576:960-964
9,0,44066,43627,24,0,:576-600:960-964,:576-600:960-964
9,0,44067,43628,24,0,:600-624:960-964,:600-624:960-964
9,0,44068,43629,24,0,:624-648:960-964,:624-648:960-964
9,0,44069,43630,24,0,:648-672:960-964,:648-672:960-964
9,0,44070,43631,24,0,:672-696:960-964,:672-696:960-964
9,0,44071,43632,24,0,:696-720:960-964,:696-720:960-964
9,0,44072,43633,24,0,:720-744:960-964,:720-744:960-964
9,0,44073,43634,24,0,:744-768:960-964,:744-768:960-964
9,0,44074,43635,24,0,:768-792:960-964,:768-792:960-964
9,0,44075,43636,24,0,:792-816:960-964,:792-816:960-964
9,0,44076,43637,24,0,:816-840:960-964,:816-840:960-964
9,0,44077,43638,24,0,:840-864:960-964,:840-864:960-964
9,0,44078,43639,24,0,:864-888:960-964,:864-888:960-964
9,0,44079,43640,24,0,:888-912:960-964,:888-912:960-964
9,0,44080,43641,24,0,:912-936:960-964,:912-936:960-964
9,0,44081,43642,24,0,:936-964,:936-964
49,40,46242,45803,24,0,:0-24:960-964,:0-24:960-964
49,40,46243,45804,24,0,:24-48:960-964,:24-48:960-964
49,40,46244,45805,24,0,:48-72:960-964,:48-72:960-964
49,40,46245,45806,24,0,:72-96:960-964,:72-96:960-964
49,40,46246,45807,24,0,:96-120:960-964,:96-120:960-964
49,40,46247,45808,24,0,:120-144:960-964,:120-144:960-964
49,40,46248,45809,24,0,:144-168:960-964,:144-168:960-964
49,40,46249,45810,24,0,:168-192:960-964,:168-192:960-964
49,40,46250,45811,24,0,:192-216:960-964,:192-216:960-964
49,40,46251,45812,24,0,:216-240:960-964,:216-240:960-964
49,40,46252,45813,24,0,:240-264:960-964,:240-264:960-964
49,40,46253,45814,24,0,:264-288:960-964,:264-288:960-964
49,40,46254,45815,24,0,:288-312:960-964,:288-312:960-964
49,40,46255,45816,24,0,:312-336:960-964,:312-336:960-964
49,40,46256,45817,24,0,:336-360:960-964,:336-360:960-964
49,40,46257,45818,24,0,:360-384:960-964,:360-384:960-964
49,40,46258,45819,24,0,:384-408:960-964,:384-408:960-964
49,40,46259,45820,24,0,:408-432:960-964,:408-432:960-964
49,40,46260,45821,24,0,:432-456:960-964,:432-456:960-964
49,40,46261,45822,24,0,:456-480:960-964,:456-480:960-964
49,40,46262,45823,24,0,:480-504:960-964,:480-504:960-964
49,40,46263,45824,24,0,:504-528:960-964,:504-528:960-964
49,40,46264,45825,24,0,:528-552:960-964,:528-552:960-964
49,40,46265,45826,24,0,:552-576:960-964,:552-576:960-964
49,40,46266,45827,24,0,:576-600:960-964,:576-600:960-964
49,40,46267,45828,24,0,:600-624:960-964,:600-624:960-964
49,40,46268,45829,24,0,:624-648:960-964,:624-648:960-964
49,40,46269,45830,24,0,:648-672:960-964,:648-672:960-964
49,40,46270,45831,24,0,:672-696:960-964,:672-696:960-964
49,40,46271,45832,24,0,:696-720:960-964,:696-720:960-964
49,40,46272,45833,24,0,:720-744:960-964,:720-744:960-964
49,40,46273,45834,24,0,:744-768:960-964,:744-768:960-964
49,40,46274,45835,24,0,:768-792:960-964,:768-792:960-964
49,40,46275,45836,24,0,:792-816:960-964,:792-816:960-964
49,40,46276,45837,24,0,:816-840:960-964,:816-840:960-964
49,40,46277,45838,24,0,:840-864:960-964,:840-864:960-964
49,40,46278,45839,24,0,:864-888:960-964,:864-888:960-964
